REF_DATE,GEO,DGUID,Level of study,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2010/2011,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,6864,,,,0
2010/2011,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6119,,,,0
2010/2011,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,14172,,,,0
2010/2011,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,10897,,,,0
2010/2011,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,2930,,,,0
2010/2011,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,3161,,,,0
2010/2011,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,19446,,,,0
2010/2011,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,17774,,,,0
2010/2011,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,7677,,,,0
2010/2011,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,8728,,,,0
2010/2011,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,23213,,,,0
2010/2011,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,18135,,,,0
2010/2011,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,4367,,,,0
2010/2011,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,5022,,,,0
2010/2011,Manitoba,2016A000246,International undergraduate,Constant dollars,370,units,0,v1411954055,8.3,14286,,,,0
2010/2011,Manitoba,2016A000246,International graduate,Constant dollars,370,units,0,v1411954056,8.4,9972,,,,0
2010/2011,Saskatchewan,2016A000247,Canadian undergraduate,Constant dollars,370,units,0,v1411954057,9.1,6601,,,,0
2010/2011,Saskatchewan,2016A000247,Canadian graduate,Constant dollars,370,units,0,v1411954058,9.2,4174,,,,0
2010/2011,Saskatchewan,2016A000247,International undergraduate,Constant dollars,370,units,0,v1411954059,9.3,16791,,,,0
2010/2011,Saskatchewan,2016A000247,International graduate,Constant dollars,370,units,0,v1411954060,9.4,4275,,,,0
2010/2011,Alberta,2016A000248,Canadian undergraduate,Constant dollars,370,units,0,v1411954061,10.1,6691,,,,0
2010/2011,Alberta,2016A000248,Canadian graduate,Constant dollars,370,units,0,v1411954062,10.2,5679,,,,0
2010/2011,Alberta,2016A000248,International undergraduate,Constant dollars,370,units,0,v1411954063,10.3,21455,,,,0
2010/2011,Alberta,2016A000248,International graduate,Constant dollars,370,units,0,v1411954064,10.4,11435,,,,0
2010/2011,British Columbia,2016A000259,Canadian undergraduate,Constant dollars,370,units,0,v1411954065,11.1,5783,,,,0
2010/2011,British Columbia,2016A000259,Canadian graduate,Constant dollars,370,units,0,v1411954066,11.2,8725,,,,0
2010/2011,British Columbia,2016A000259,International undergraduate,Constant dollars,370,units,0,v1411954067,11.3,20869,,,,0
2010/2011,British Columbia,2016A000259,International graduate,Constant dollars,370,units,0,v1411954068,11.4,13285,,,,0
2011/2012,Canada,2016A000011124,Canadian undergraduate,Constant dollars,370,units,0,v1411954025,1.1,6275,,,,0
2011/2012,Canada,2016A000011124,Canadian graduate,Constant dollars,370,units,0,v1411954026,1.2,6436,,,,0
2011/2012,Canada,2016A000011124,International undergraduate,Constant dollars,370,units,0,v1411954027,1.3,20866,,,,0
2011/2012,Canada,2016A000011124,International graduate,Constant dollars,370,units,0,v1411954028,1.4,15158,,,,0
2011/2012,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3128,,,,0
2011/2012,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,2900,,,,0
2011/2012,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,11524,,,,0
2011/2012,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,3294,,,,0
2011/2012,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,6210,,,,0
2011/2012,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,4714,,,,0
2011/2012,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,28640,,,,0
2011/2012,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,11066,,,,0
2011/2012,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,6758,,,,0
2011/2012,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,8771,,,,0
